School,SRC School ID,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2015-16 Learning Network,2016-17 Learning Network,Notes,Overall Score,Overall Tier,Overall City Rank,Overall Peer Rank,Ach Score,Ach Tier,Ach City Rank,Ach Peer Rank,Prog Score,Prog Tier,Prog City Rank,Prog Peer Rank,Clim Score,Clim Tier,Clim City Rank,Clim Peer Rank,CC Score,CC Tier,CC City Rank,CC Peer Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L20P) Score,Keystone Alg1 AGI (L20P) Pts Earn,Keystone Alg1 AGI (L20P) Pts Poss,Keystone Alg1 AGI (L20P) Pct Earn,Keystone Alg1 AGI (L20P) Tier,Keystone Bio AGI (L20P) Score,Keystone Bio AGI (L20P) Pts Earn,Keystone Bio AGI (L20P) Pts Poss,Keystone Bio AGI (L20P) Pct Earn,Keystone Bio AGI (L20P) Tier,Keystone Lit AGI (L20P) Score,Keystone Lit AGI (L20P) Pts Earn,Keystone Lit AGI (L20P) Pts Poss,Keystone Lit AGI (L20P) Pct Earn,Keystone Lit AGI (L20P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
The U School,562,HS,High School,2000 N. 7th St.,Philadelphia,PA,19122,215-684-3266,215-684-2476,District,N/A,166,www.philasd.org/schools/uschool,'9-10',Citywide,2,Innovation Network,Innovation Network,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,22,INTERVENE,63rd out of 84,11th out of 21,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19,174,0,8,0,INTERVENE,21,174,14,174,10,174,36,174,72,163,0,6,0,INTERVENE,100,174,.5,.5,100,MODEL,97,174,2.26,2.5,90,MODEL,58,.58,1,58,REINFORCE,90,.9,1,90,MODEL,16,.15,1,15,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,25,.25,1,25,WATCH,25,33,70,43
The LINC,566,HS,High School,122 W. Erie Ave.,Philadelphia,PA,19140,215-291-5432,215-291-5449,District,N/A,205,www.philasd.org/schools/thelinc,'9-10',Citywide,1,Innovation Network,Innovation Network,,13,INTERVENE,65th out of 83,6th out of 12,4,INTERVENE,48th out of 79,5th out of 12,21,INTERVENE,57th out of 83,4th out of 12,15,INTERVENE,68th out of 84,7th out of 12,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,4,168,0,8,0,INTERVENE,0,168,0,1.5,0,INTERVENE,3,76,0,8,0,INTERVENE,0,76,0,1.5,0,INTERVENE,18,80,0,8,0,INTERVENE,0,80,0,1.5,0,INTERVENE,28,32,1.31,1.5,88,MODEL,-8.81,0,6.5,0,INTERVENE,-3.55,0,6.5,0,INTERVENE,-2.66,0,6.5,0,INTERVENE,89,176,5.12,8,64,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.05,.48,1.5,32,WATCH,.95,.98,1.5,65,REINFORCE,-1.68,0,1.5,0,INTERVENE,33,211,2.03,8,25,WATCH,27,211,18,211,7,211,16,211,73,199,0,6,0,INTERVENE,100,211,.5,.5,100,MODEL,75,211,.41,2.5,16,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,1,0,INTERVENE,0,0,42,0
Central High School,601,HS,High School,1700 W. Olney Ave.,Philadelphia,PA,19141,215-276-5262,215-276-4721,District,N/A,2244,www.centralhigh.net,'9-12',Special Admit,5,Autonomy Network,Autonomy Network,,82,MODEL,2nd out of 83,2nd out of 10,91,MODEL,2nd out of 79,2nd out of 10,68,REINFORCE,11th out of 83,3rd out of 10,91,MODEL,3rd out of 84,2nd out of 10,90,MODEL,2nd out of 77,2nd out of 9,89,351,6.92,8,86,MODEL,56,351,1.5,1.5,100,MODEL,94,610,7.41,8,93,MODEL,61,610,1.5,1.5,100,MODEL,97,404,7.65,8,96,MODEL,15,404,.91,1.5,60,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,.86,4.03,6.5,62,REINFORCE,2.22,6.5,6.5,100,MODEL,-5.3,0,6.5,0,INTERVENE,98,1675,7.59,8,95,MODEL,95,41,6,6,100,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.2,0,1.5,0,INTERVENE,.14,.57,1.5,38,WATCH,1.05,1.03,1.5,68,REINFORCE,68,2247,7.67,8,96,MODEL,22,2247,6,2247,2,2247,3,2247,97,2231,6,6,100,MODEL,100,2247,.5,.5,100,MODEL,100,2247,2.49,2.5,100,MODEL,66,.66,1,66,REINFORCE,82,.82,1,82,MODEL,12,.04,1,4,INTERVENE,100,483,4.46,4.5,99,MODEL,90,482,1.5,1.5,100,MODEL,44,490,.85,1,85,MODEL,17,490,39,490,68,490,1,1,100,MODEL,29,490,3,490,73,490,.97,1,97,MODEL,24,.24,1,24,INTERVENE,27,24,86,59
Roxborough High School,603,HS,High School,6498 Ridge Ave.,Philadelphia,PA,19128,215-487-4464,215-487-4843,District,N/A,574,www.philasd.org/schools/roxborough,'9-12',Neighborhood,2,Neighborhood Network 6,Neighborhood Network 6,,18,INTERVENE,54th out of 83,9th out of 20,0,INTERVENE,76th out of 79,17th out of 20,21,INTERVENE,55th out of 83,11th out of 20,40,WATCH,53rd out of 84,9th out of 21,17,INTERVENE,55th out of 77,11th out of 19,3,354,0,8,0,INTERVENE,1,354,.03,1.5,2,INTERVENE,4,225,0,8,0,INTERVENE,0,225,0,1.5,0,INTERVENE,15,210,0,8,0,INTERVENE,0,210,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-10.72,0,6.5,0,INTERVENE,-7.23,0,6.5,0,INTERVENE,-8.33,0,6.5,0,INTERVENE,93,328,6.05,8,76,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.39,0,1.5,0,INTERVENE,.23,.62,1.5,41,WATCH,-3.46,0,1.5,0,INTERVENE,27,635,1.18,8,15,INTERVENE,29,635,13,635,10,635,21,635,83,553,4.8,6,80,MODEL,88,635,0,.5,0,INTERVENE,74,635,.37,2.5,15,INTERVENE,66,.66,1,66,REINFORCE,84,.84,1,84,MODEL,12,.05,1,5,INTERVENE,76,135,.1,4.5,2,INTERVENE,50,116,.68,1.5,45,WATCH,13,127,.08,1,8,INTERVENE,39,127,47,127,1,127,0,1,0,INTERVENE,59,127,40,127,50,127,.51,1,51,REINFORCE,32,.32,1,32,WATCH,0,50,60,52
Walter B. Saul High School,604,HS,High School,7100 Henry Ave.,Philadelphia,PA,19128,215-487-4467,215-487-4844,District,N/A,563,www.philasd.org/schools/saul,'9-12',Special Admit,4,Autonomy Network,Autonomy Network,,29,WATCH,45th out of 83,14th out of 19,6,INTERVENE,42nd out of 79,15th out of 19,22,INTERVENE,53rd out of 83,14th out of 19,58,REINFORCE,37th out of 84,12th out of 20,62,REINFORCE,14th out of 77,4th out of 18,11,299,0,8,0,INTERVENE,1,299,.04,1.5,3,INTERVENE,13,196,0,8,0,INTERVENE,2,196,.09,1.5,6,INTERVENE,35,147,1.47,8,18,INTERVENE,0,147,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-9.7,0,6.5,0,INTERVENE,-7.02,0,6.5,0,INTERVENE,-4.44,0,6.5,0,INTERVENE,96,395,6.92,8,87,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.63,0,1.5,0,INTERVENE,-.88,.06,1.5,4,INTERVENE,-1.36,0,1.5,0,INTERVENE,37,581,2.69,8,34,WATCH,32,581,11,581,9,581,12,581,92,553,6,6,100,MODEL,100,581,.5,.5,100,MODEL,93,581,1.88,2.5,75,MODEL,61,.61,1,61,REINFORCE,0,0,1,0,INTERVENE,6,0,1,0,INTERVENE,100,127,4.5,4.5,100,MODEL,51,126,.7,1.5,47,WATCH,16,127,.14,1,14,INTERVENE,13,127,72,127,2,127,0,1,0,INTERVENE,72,127,26,127,54,127,.59,1,59,REINFORCE,29,.29,1,29,WATCH,31,100,79,44
Philadelphia High School for Girls,605,HS,High School,1400 W. Olney Ave.,Philadelphia,PA,19141,215-276-5258,215-276-5738,District,N/A,1160,www.philasd.org/schools/girlshigh,'9-12',Special Admit,4,Autonomy Network,Autonomy Network,,59,REINFORCE,12th out of 83,3rd out of 19,47,WATCH,10th out of 79,3rd out of 19,63,REINFORCE,14th out of 83,2nd out of 19,68,REINFORCE,28th out of 84,7th out of 20,57,REINFORCE,17th out of 77,6th out of 18,46,443,2.56,8,32,WATCH,12,443,.75,1.5,50,REINFORCE,47,490,2.65,8,33,WATCH,8,490,.45,1.5,30,WATCH,87,257,6.72,8,84,MODEL,6,257,.35,1.5,23,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,.56,3.38,6.5,52,REINFORCE,-1.99,0,6.5,0,INTERVENE,7.75,6.5,6.5,100,MODEL,96,743,6.89,8,86,MODEL,84,31,5.26,6,88,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.98,.01,1.5,1,INTERVENE,-.36,.32,1.5,21,INTERVENE,5.66,1.5,1.5,100,MODEL,45,1172,4.05,8,51,REINFORCE,23,1172,13,1172,6,1172,13,1172,92,1135,6,6,100,MODEL,100,1172,.5,.5,100,MODEL,100,1172,2.49,2.5,100,MODEL,58,.58,1,58,REINFORCE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,93,332,3.2,4.5,71,REINFORCE,75,309,1.37,1.5,92,MODEL,13,312,.07,1,7,INTERVENE,26,312,61,312,11,312,.03,1,3,INTERVENE,83,312,6,312,61,312,.72,1,72,REINFORCE,27,.27,1,27,WATCH,29,76,59,45
Martin Luther King High School,606,HS,High School,6100 Stenton Ave.,Philadelphia,PA,19138,215-276-5253,215-276-5844,District,Promise Academy,940,www.philasd.org/schools/mlking,'9-12',Neighborhood,2,Turnaround Network,Turnaround Network,,10,INTERVENE,69th out of 83,12th out of 20,0,INTERVENE,65th out of 79,10th out of 20,22,INTERVENE,52nd out of 83,10th out of 20,7,INTERVENE,79th out of 84,18th out of 21,3,INTERVENE,73rd out of 77,16th out of 19,5,457,0,8,0,INTERVENE,1,457,.04,1.5,3,INTERVENE,3,276,0,8,0,INTERVENE,0,276,.02,1.5,1,INTERVENE,13,293,0,8,0,INTERVENE,1,293,.04,1.5,3,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-7.96,0,6.5,0,INTERVENE,-4.62,0,6.5,0,INTERVENE,-8.61,0,6.5,0,INTERVENE,79,334,2.41,8,30,WATCH,64,103,2.89,6,48,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.8,1.5,1.5,100,MODEL,2.87,1.5,1.5,100,MODEL,-3.41,0,1.5,0,INTERVENE,12,1186,0,8,0,INTERVENE,15,1186,11,1186,11,1186,51,1186,69,885,0,6,0,INTERVENE,100,1186,.5,.5,100,MODEL,74,1186,.32,2.5,13,INTERVENE,53,.53,1,53,REINFORCE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,52,334,0,4.5,0,INTERVENE,26,210,.02,1.5,1,INTERVENE,4,256,0,1,0,INTERVENE,5,256,91,256,0,256,0,1,0,INTERVENE,27,256,73,256,19,256,0,1,0,INTERVENE,30,.3,1,30,WATCH,18,38,64,41
A. Philip Randolph Career and Technical High School,609,HS,High School,3101 Henry Ave.,Philadelphia,PA,19129,215-227-4407,215-227-8655,District,N/A,561,www.philasd.org/schools/randolph,'9-12',Citywide,2,Neighborhood Network 4,Neighborhood Network 4,,23,INTERVENE,50th out of 83,7th out of 20,0,INTERVENE,62nd out of 79,9th out of 20,28,WATCH,41st out of 83,6th out of 20,40,WATCH,52nd out of 84,8th out of 21,40,WATCH,36th out of 77,4th out of 19,7,368,0,8,0,INTERVENE,0,368,0,1.5,0,INTERVENE,10,145,0,8,0,INTERVENE,0,145,0,1.5,0,INTERVENE,21,215,.14,8,2,INTERVENE,0,215,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-4.8,0,6.5,0,INTERVENE,-3.64,0,6.5,0,INTERVENE,-1.69,0,6.5,0,INTERVENE,96,356,6.95,8,87,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.11,.56,1.5,37,WATCH,1.41,1.21,1.5,80,MODEL,-.51,.25,1.5,16,INTERVENE,15,587,0,8,0,INTERVENE,23,587,22,587,12,587,28,587,85,558,5.86,6,98,MODEL,100,587,.5,.5,100,MODEL,73,587,.24,2.5,10,INTERVENE,59,.59,1,59,REINFORCE,76,.76,1,76,MODEL,10,0,1,0,INTERVENE,90,135,2.63,4.5,59,REINFORCE,21,122,0,1.5,0,INTERVENE,54,122,1,1,100,MODEL,21,122,25,122,0,122,0,1,0,INTERVENE,54,122,46,122,23,122,0,1,0,INTERVENE,40,.4,1,40,WATCH,11,10,64,44
Hill-Freedman World Academy,646,HS,High School,1100 E. Mt. Pleasant Ave.,Philadelphia,PA,19150,215-400-3530,215-400-3531,District,N/A,277,www.philasd.org/schools/hill-freedman,'9-11',Special Admit,3,Autonomy Network,Autonomy Network,,41,WATCH,25th out of 83,6th out of 22,26,WATCH,17th out of 79,2nd out of 19,33,WATCH,33rd out of 83,11th out of 22,75,MODEL,16th out of 84,4th out of 21,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,31,117,1.08,8,13,INTERVENE,3,117,.21,1.5,14,INTERVENE,29,161,.92,8,11,INTERVENE,3,161,.19,1.5,12,INTERVENE,68,90,4.78,8,60,REINFORCE,4,90,.27,1.5,18,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.43,0,6.5,0,INTERVENE,-6.41,0,6.5,0,INTERVENE,.54,3.34,6.5,51,REINFORCE,94,219,6.42,8,80,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.62,0,1.5,0,INTERVENE,-2,0,1.5,0,INTERVENE,.62,.81,1.5,54,REINFORCE,55,280,5.66,8,71,REINFORCE,29,280,8,280,3,280,5,280,93,270,6,6,100,MODEL,100,280,.5,.5,100,MODEL,96,280,2.2,2.5,88,MODEL,0,0,1,0,INTERVENE,70,.7,1,70,REINFORCE,10,0,1,0,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,1,0,INTERVENE,14,17,60,0
Lankenau High School,654,HS,High School,201 Spring Lane,Philadelphia,PA,19128,215-487-4465,215-487-4879,District,N/A,314,www.philasd.org/schools/lankenau,'9-12',Special Admit,3,Autonomy Network,Autonomy Network,,35,WATCH,32nd out of 83,8th out of 22,9,INTERVENE,33rd out of 79,9th out of 19,32,WATCH,35th out of 83,12th out of 22,69,REINFORCE,25th out of 84,8th out of 21,55,REINFORCE,20th out of 77,5th out of 20,14,159,0,8,0,INTERVENE,2,159,.11,1.5,8,INTERVENE,19,117,0,8,0,INTERVENE,3,117,.15,1.5,10,INTERVENE,42,98,2.18,8,27,WATCH,0,98,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.96,0,6.5,0,INTERVENE,-5.49,0,6.5,0,INTERVENE,.17,2.54,6.5,39,WATCH,97,213,7.12,8,89,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.7,0,1.5,0,INTERVENE,-1.06,0,1.5,0,INTERVENE,.25,.63,1.5,42,WATCH,40,318,3.19,8,40,WATCH,28,318,12,318,9,318,11,318,92,303,6,6,100,MODEL,100,318,.5,.5,100,MODEL,99,318,2.42,2.5,97,MODEL,63,.63,1,63,REINFORCE,84,.84,1,84,MODEL,22,.3,1,30,WATCH,99,79,4.27,4.5,95,MODEL,59,79,.94,1.5,63,REINFORCE,0,79,0,1,0,INTERVENE,44,79,56,79,0,79,0,1,0,INTERVENE,96,79,4,79,3,79,0,1,0,INTERVENE,27,.27,1,27,WATCH,0,33,67,43
Frankford High School,701,HS,High School,5000 Oxford Ave.,Philadelphia,PA,19124,215-537-2519,215-537-2598,District,N/A,1131,www.philasd.org/schools/frankford,'9-12',Neighborhood,1,Neighborhood Network 9,Neighborhood Network 9,,7,INTERVENE,80th out of 83,12th out of 12,3,INTERVENE,54th out of 79,8th out of 12,12,INTERVENE,70th out of 83,10th out of 12,6,INTERVENE,81st out of 84,12th out of 12,0,INTERVENE,77th out of 77,11th out of 11,4,565,0,8,0,INTERVENE,0,565,.01,1.5,1,INTERVENE,2,338,0,8,0,INTERVENE,0,338,.02,1.5,1,INTERVENE,13,331,0,8,0,INTERVENE,1,331,.04,1.5,2,INTERVENE,23,128,.84,1.5,56,REINFORCE,-7.76,0,6.5,0,INTERVENE,-8.07,0,6.5,0,INTERVENE,-8.85,0,6.5,0,INTERVENE,74,477,1.18,8,15,INTERVENE,49,182,1.13,6,19,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.86,.93,1.5,62,REINFORCE,2.02,1.5,1.5,100,MODEL,-2.78,0,1.5,0,INTERVENE,12,1390,0,8,0,INTERVENE,15,1390,13,1390,10,1390,49,1390,76,1081,.46,6,8,INTERVENE,87,1390,0,.5,0,INTERVENE,78,1390,.69,2.5,28,WATCH,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,57,359,0,4.5,0,INTERVENE,23,242,0,1.5,0,INTERVENE,3,234,0,1,0,INTERVENE,10,234,87,234,0,234,0,1,0,INTERVENE,34,234,66,234,27,234,.04,1,4,INTERVENE,0,0,1,0,INTERVENE,2,40,46,0
